Tenant,Tenant_ID,Studio_Name,Email,Total_Spaces,Competition_1,Spaces_1,Competition_2,Spaces_2,Competition_3,Spaces_3,Competition_4,Spaces_4,Has_Email,Ready_For_Invitation
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Northern Lights","christineeagle@ymail.com",55,"GLOW St. Catharines Spring 2026",55,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Poise Dance Academy","comp@poisedance.ca",70,"GLOW Blue Mountain Spring 2026",70,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Precisions","precisiondcinc@gmail.com",50,"GLOW Toronto 2026",50,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Prodigy Dance","prodigydancearts@gmail.com",60,"GLOW Blue Mountain Summer 2026",60,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Rebel","rebel.danceco@gmail.com",50,"GLOW Blue Mountain Summer 2026",50,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Sabuccos","mariah@sabuccosdancecompany.com",100,"GLOW Toronto 2026",100,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Studio 519","studio519da@gmail.com",50,"GLOW St. Catharines Spring 2026",50,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Taylors Dance","tdataylorsdanceacademy@gmail.com",60,"GLOW St. Catharines Spring 2026",60,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"The Dance Extension","danceextension@bellnet.ca",40,"GLOW St. Catharines Spring 2026",40,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"TK","director@tkdanceworx.com",80,"GLOW Toronto 2026",80,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Uxbridge","emily.einsmann@gmail.com",50,"GLOW Blue Mountain Spring 2026",50,,,,,,,YES,YES
EMPWR,00000000-0000-0000-0000-000000000001,"A.B LUCAS DANCE TEAM",,5,"EMPWR Dance - London",5,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"ACADEMY OF DANCE ARTS",,80,"EMPWR Dance - St. Catharines #1",80,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"ALIVE DANCE COMPANY",,65,"EMPWR Dance - St. Catharines #2",65,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"asd","djamusic@gmail.com",515,"EMPWR Dance - St. Catharines #1",505,"EMPWR Dance - St. Catharines #2",10,,,,,YES,YES
EMPWR,00000000-0000-0000-0000-000000000001,"CASSIAHS DANCE COMPANY",,40,"EMPWR Dance - St. Catharines #1",40,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"DANCEFX",,110,"EMPWR Dance - St. Catharines #2",110,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"DANCEOLOGY",,80,"EMPWR Dance - St. Catharines #1",80,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"DANCENERGY",,30,"EMPWR Dance - London",30,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"Dancertons","daniel@streamstage.live",227,"EMPWR Dance - London",7,"EMPWR Dance - St. Catharines #1",5,"EMPWR Dance - St. Catharines #2",215,,YES,YES
EMPWR,00000000-0000-0000-0000-000000000001,"DANCESATIONS",,70,"EMPWR Dance - St. Catharines #2",70,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"DANCETASTIC",,70,"EMPWR Dance - St. Catharines #1",70,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"ELAN DANCE ARTS",,40,"EMPWR Dance - London",40,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"ELITE STAR",,38,"EMPWR Dance - St. Catharines #1",38,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"EN AVANT",,30,"EMPWR Dance - London",30,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"FEVER",,160,"EMPWR Dance - St. Catharines #2",160,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"JDANSE",,30,"EMPWR Dance - St. Catharines #2",30,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"ONEILL ACADEMY",,70,"EMPWR Dance - London",70,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"POISE",,70,"EMPWR Dance - St. Catharines #1",70,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"POWERHOUSE DANCE COMPANY",,145,"EMPWR Dance - St. Catharines #1",145,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"RIVERTOWN DANCE ACADEMY",,60,"EMPWR Dance - St. Catharines #1",60,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"STEP ABOVE",,125,"EMPWR Dance - London",125,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"STUDIO 22",,95,"EMPWR Dance - St. Catharines #2",95,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"THE DANCE SHOPPE",,193,"EMPWR Dance - London",193,,,,,,,NO,NO
EMPWR,00000000-0000-0000-0000-000000000001,"WHITBY DANCE COMPANY",,90,"EMPWR Dance - London",90,,,,,,,NO,NO
